,date,lat,long,daysSince1985,economic_loss,total_affected,duration,event_type,CAMEOCode,Index,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3542,"Thursday, May 11, 2006",11.32411,77.74176,7800,20305.18352,,1,-1,,4494,,,1,20305.18352,,,,1,0,,,,
3543,"Saturday, May 13, 2006",11.2341,78.8805,7802,20305.18352,,1,-1,,4501,,,1,20305.18352,,,,28,10,0.0,0.0,,5.0
3544,"Sunday, May 14, 2006",11.01601,76.97031,7803,20305.18352,,1,-1,,4506,,,1,20305.18352,,,,1,0,,,,
3545,"Wednesday, May 17, 2006",10.76638,79.84952,7806,20305.18352,,1,-1,,4519,,,1,20305.18352,,,,1,0,,,,
3546,"Wednesday, May 17, 2006",11.03176,77.02951,7806,20305.18352,,1,-1,,4522,,,1,20305.18352,,,,1,0,,,,
3547,"Friday, May 19, 2006",11.1633749,79.68405151,7808,20305.18352,,1,-1,,4531,,,1,20305.18352,,,,1,0,,,,
3548,"Monday, May 22, 2006",12.61498547,79.75827789,7811,20305.18352,,1,-1,,4542,,,1,20305.18352,,,,26,7,0.0,0.0,,2.0
3549,"Wednesday, May 24, 2006",11.01601,76.97031,7813,20305.18352,,1,-1,,4561,,,1,20305.18352,,,,1,0,,,,
3550,"Sunday, May 28, 2006",12.41011,79.89029,7817,20305.18352,,1,-1,,4577,,,1,20305.18352,,,,27,9,0.0,0.0,,5.0
3551,"Sunday, May 28, 2006",10.76638,79.84952,7817,20305.18352,,1,-1,,4579,,,1,20305.18352,,,,1,0,,,,
3552,"Friday, June 02, 2006",11.1633749,79.68405151,7822,20305.18352,,1,-1,,4601,,,1,20305.18352,,,,1,0,,,,
3553,"Tuesday, June 06, 2006",11.05111,77.62059,7826,20305.18352,,1,-1,,4616,,,1,20305.18352,,,,1,0,,,,
3554,"Saturday, June 10, 2006",11.01601,76.97031,7830,20305.18352,,1,-1,,4625,,,1,20305.18352,,,,1,0,,,,
3555,"Tuesday, June 13, 2006",11.2341,78.8805,7833,20305.18352,,1,-1,,4636,,,1,20305.18352,,,,28,11,0.0,0.0,,22.0
